Year,Row,Nr.,Name,Geboren,Aufnahme,Gestorben,Fachsektion,Link
1885,0,2512.0,Georg Hans Emmo Wolfgang Hieronymus,15. Feb. 1846,9. Feb.,18. Jan. 1921,Botanik,/wiki/Georg_Hans_Emmo_Wolfgang_Hieronymus
1885,1,2513.0,Moritz Traube,12. Feb. 1826,12. Feb.,28. Juni 1894,Botanik Physiologie,/wiki/Moritz_Traube
1885,2,2514.0,Ignatz Urban,7. Jan. 1848,14. Feb.,7. Jan. 1931,Botanik,/wiki/Ignaz_Urban
1885,3,2515.0,R. A. Hehl,18. Juli 1839,27. Mrz.,28. Mai 1911,Mineralogie und Geologie,/wiki/Rudolph_Alexander_Hehl
1885,4,2516.0,Wilhelm Joest,15. März 1852,14. Jul.,25. Nov. 1897,"Anthropologie, Ethnologie und Geographie",/wiki/Wilhelm_Joest
1885,5,2517.0,Julius Wilhelm Richard Dedekind,6. Okt. 1831,11. Aug.,12. Feb. 1916,Mathematik und Astronomie,/wiki/Richard_Dedekind
1885,6,2518.0,Theodor Ritter von Oppolzer,26. Okt. 1841,26. Okt.,26. Dez. 1886,Mathematik und Astronomie,/wiki/Theodor_von_Oppolzer
1885,7,2519.0,Heinrich Friedrich Ludwig Matthiessen,22. Sep. 1830,28. Okt.,14. Nov. 1906,Physik und Meteorologie,/wiki/Ludwig_Matthiessen
1885,8,2520.0,Albert von Brunn,7. Feb. 1849,30. Okt.,10. Dez. 1895,Zoologie und Anatomie,/wiki/Ferdinand_Albert_Wilhelm_von_Brunn
1885,9,2521.0,Franz Eilhard Schulze,22. März 1840,30. Okt.,2. Nov. 1921,Zoologie und Anatomie,/wiki/Franz_Eilhard_Schulze
1885,10,2522.0,Ludwig Barth Ritter von Barthenau,17. Jan. 1839,31. Okt.,3. Aug. 1890,Chemie,/wiki/Ludwig_Barth_zu_Barthenau
1885,11,2523.0,Johann Baptist von Rogner,1823,2. Nov.,8. Jan. 1886,Mathematik und Astronomie,/wiki/Johann_Rogner
1885,12,2524.0,Woldemar Voigt,2. Sep. 1850,3. Nov.,13. Dez. 1919,Physik und Meteorologie,/wiki/Woldemar_Voigt_(Physiker)
1885,13,2525.0,Julius Heinrich Georg Franz,28. Juni 1847,3. Nov.,28. Jan. 1913,Mathematik und Astronomie,/wiki/Julius_Franz_(Astronom)
1885,14,2526.0,Johann Peter Griess,6. Sep. 1829,3. Nov.,30. Aug. 1888,Chemie,/wiki/Peter_Grie%C3%9F
1885,15,2527.0,Friedrich Johann Karl Becke,31. Dez. 1855,4. Nov.,18. Juni 1931,Mineralogie und Geologie,/wiki/Friedrich_Becke_(Mineraloge)
